Resumption of the session	Wiederaufnahme der Sitzungsperiode
Margarine and a few kilos of paint which, in principle, do not present risks, led to a genuine disaster.	Die Margarine und ein paar Kilo Farbe, die im Prinzip kein Risiko darstellten, verursachten eine echte Katastrophe.
Therefore, we will have to see how the requirements guaranteeing the maximum degree of safety can be further improved.	Deshalb muß geprüft werden, wie die Anforderungen zur Gewährleistung eines Maximums an Sicherheit noch optimiert werden können.
Finally, I would like to say that we have to consider safety in all types of transport.	Abschließend möchte ich sagen, daß es um die Sicherheit bei allen Transportarten geht.
This week we will be holding a debate here on the safety of sea transport, in light of the Erika disaster, and in the course of this year we will have to discuss our objectives in terms of the safety of air transport.	In dieser Woche werden wir hier aufgrund der Katastrophe der Erika eine Aussprache über die Sicherheit des Seeverkehrs führen, und wir müssen im Laufe dieses Jahres auch über die Sicherheitsziele im Luftverkehr diskutieren.
But I would like to say that safety is a priority objective for the Commission.	Ich will zum Ausdruck bringen, daß die Sicherheit ein vorrangiges Ziel der Kommission ist.
As I will say in the debate on the Erika disaster, we do not wait until there is a disaster to deal with the question of safety, but we work on it even when there are no such circumstances, which simply serve to demonstrate the urgency for an effective response to this type of problem.	Wie ich in der Aussprache über die Erika sagen werde, warten wir nicht auf eine Katastrophe, um uns mit dem Sicherheitsaspekt zu befassen, sondern wir arbeiten daran am Rande dieser Geschehnisse. Diese führen uns allerdings die Dringlichkeit einer effektiven Antwort auf Probleme dieser Art vor Augen.
I would like to repeat my appreciation to all the speakers and especially to the rapporteur, Mr Koch.	Ich möchte nochmals allen Rednern und ganz besonders dem Berichterstatter, Herrn Koch, meinen Dank sagen.
The debate is closed.	Die Aussprache ist geschlossen.
The vote will take place tomorrow at 12 p.m.	Die Abstimmung findet morgen um 12.00 Uhr statt.
Transport of dangerous goods by road	Gefahrguttransport auf der Straße
The next item is the report (A5-0104/1999) by Mr Koch, on behalf of the Committee on Regional Policy, Transport and Tourism, on the proposal for a European Parliament and Council directive amending Directive 94/55/EC on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road [COM(1999) 158 - C5-0004/1999 - 1999/0083(COD)].	Nach der Tagesordnung folgt der Bericht (A5-0104/1999) von Herrn Koch im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr für eine Richtlinie des Europäischen Parlament und des Rates (KOM(1999) 158 - C5-0004/1999 - 1999/0083(COD) ) zur Änderung der Richtlinie 94/55/EG zur Angleichung der Rechtsvorschriften der Mitgliedstaaten für den Gefahrguttransport auf der Straße.
Mr President, Commissioner, ladies and gentlemen, the directive on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road, which entered into force on 1 January 1997, contains a number of transitional provisions which are only valid for a limited period of time, the term of validity being linked to the completion of specific standardisation work by the CEN, that is the European Committee for Standardisation.	Herr Präsident, verehrte Frau Kommissarin, liebe Kolleginnen und Kollegen! Die am 1. Januar 1997 in Kraft getretene Richtlinie zur Angleichung von Rechtsvorschriften der Mitgliedstaaten für Gefahrguttransporte auf der Straße beinhaltet einige Übergangsvorschriften, deren Gültigkeit befristet und an den Abschluß bestimmter Normungsarbeiten des CEN, also des Europäischen Komitees für Normung, gekoppelt ist.
Delays in the CEN' s work are now making it difficult to apply this very directive.	Aufgetretene Verzögerungen bei den Arbeiten des CEN führen nun zu Problemen bei der Anwendung eben dieser Richtlinie.
In particular, annexes cannot be adapted to take account of technical and industrial developments.	Insbesondere können Anhänge nicht entsprechend der technischen und industriellen Entwicklung angepaßt werden.
I regret this since we are having to take action because others have not done their job.	Ich bedauere dies, denn wir müssen tätig werden, weil andere ihre Arbeit nicht gemacht haben.
In this respect, I accept this proposal to amend Directive 94/55/EC which has been tabled for discussion today.	Insofern akzeptiere ich den vorliegenden und heute zur Diskussion stehenden Vorschlag zur Änderung der Richtlinie 94/55/EG.
Should the European Union fail to take action, then Member States would be obliged to amend their national legislation for a very brief period, until the CEN completes its work, which would cause unnecessary cost and uncertainty.	Ein Nichttätigwerden der Europäischen Union würde die Mitgliedstaten verpflichten, ihre innerstaatlichen Rechtsvorschriften für einen kurzen Zeitraum, nämlich bis zum Abschluß der Arbeiten des CEN, zu ändern, was unnötige Kosten und Verunsicherungen verursacht.
The amendment to the directive on today's agenda does not therefore affect the existing harmonisation of the transport of dangerous goods in the Community.	Die auf der heutigen Tagesordnung stehende Änderung der Richtlinie bewirkt also keine Änderung der in der Gemeinschaft bestehenden Harmonisierung der Gefahrguttransporte.
It merely prolongs transitional rules by postponing deadlines, deletes provisions which are no longer applicable, and lays down the procedures for a) carrying out the ad hoc transportation of dangerous goods and b) enacting less stringent national regulations, in particular for the transport of very small amounts of dangerous goods within strictly defined local areas.	Sie verlängert lediglich Übergangsregeln durch das Verschieben von Terminen, sie streicht nicht mehr zutreffende Bestimmungen, und sie regelt die Verfahren für a) Ad hoc-Beförderungen gefährlicher Güter sowie b) den Erlaß weniger strenger nationaler Vorschriften, insbesondere bei der Beförderung sehr geringer Gefahrgutmengen auf lokal streng begrenzten Gebieten.
The amendment to the directive is consequently in full accordance with the principle of subsidiarity; the Member States obtain more powers.	Somit liegt die Änderung der Richtlinie ganz im Sinne der Subsidiarität; die Mitgliedstaaten erhalten mehr Befugnisse.
The Commission decides whether the Member States may impose certain rules of their own.	Die EU-Kommission entscheidet, ob die Mitgliedstaaten bestimmte eigene Vorschriften erlassen können.
In so doing, it is supported by a committee of experts on the transport of dangerous goods under the regulatory procedure.	Sie wird dabei von einem Expertenausschuß für Gefahrguttransporte nach dem Regelungsverfahren unterstützt.
The procedures for the exercise of these implementing powers conferred on the Commission were laid down afresh in the Council Decision of June 1999.	Die Modalitäten für die Ausübung dieser der Kommission übertragenen Durchführungsbefugnisse wurden durch Ratsbeschluß vom Juni 1999 neu geregelt.
The proposal to be discussed today, to amend the directive on the transport of dangerous goods by road, dates from May 1999, however, and could not therefore take account of the latest comitology procedure.	Der heute zur Diskussion stehende Vorschlag für eine Änderung der Richtlinie betreffend Gefahrguttransporte auf der Straße stammt jedoch vom Mai 1999 und konnte somit das aktuelle Komitologieverfahren noch nicht berücksichtigen.
Two of the amendments tabled and adopted unanimously by the committee relate precisely to this amended comitology procedure.	Die eingereichten und vom Ausschuß einstimmig angenommenen Änderungsanträge beziehen sich in zwei Fällen auf eben dieses veränderte Komitologieverfahren.
We would like to ensure that there is a reference to this as early as the recitals and that the period within which the Council has to make a decision - which is not clearly worded - is set at a maximum of three months.	Wir möchten sicherstellen, daß hierauf bereits in den Erwägungsgründen hingewiesen wird und die uneindeutig formulierte Frist, innerhalb der der Rat eine Entscheidung treffen muß, auf maximal drei Monate fixiert wird.
In addition, the need for greater transparency has been pointed out.	Darüber hinaus wird auf die Notwendigkeit einer verstärkten Transparenz hingewiesen.
A further amendment allows the Member States to impose more stringent requirements, in particular for vacuum tanks, if work is done or goods are transported as a priority in temperatures well below -20ºC.	Ein weiterer Änderungsantrag erlaubt es den Mitgliedstaaten, schärfere Forderungen, insbesondere für Vakuumtanks, zu erlassen, wenn vorrangig bei Temperaturen weit unter minus 20º C gearbeitet bzw. transportiert wird.
This is in the special interest of northern European regions.	Dies liegt im besonderen Interesse nordeuropäischer Regionen.
A final amendment is intended to ensure that tanks and tankers put into service between 1 January 1997 and the entry into force of this directive may continue to be used provided that they have been constructed and maintained in accordance with it.	Ein letzter Änderungsantrag soll bewirken, daß die Nutzung der zwischen dem 1. Januar 1997 und dem Inkrafttreten dieser Richtlinie in Betrieb genommenen Tanks und Tankfahrzeuge auch weiterhin erlaubt ist, wenn sie entsprechend konstruiert und gewartet worden sind.
I do realise that this is only a small step towards increased transport safety, but I would ask you to endorse this report.	Gleichwohl wissend, daß dies nur ein kleiner Schritt zu mehr Verkehrssicherheit ist, bitte ich Sie um die Zustimmung zu diesem Bericht.
Mr President, colleagues, a happy new year and millennium to you all.	Herr Präsident! Sehr geehrte Kollegen!
I am speaking for the first time in this plenary part-session, so this is quite exciting for me, a little like first love, although that did last longer than two minutes.	Ich wünsche Ihnen ein gutes neues Jahr und Millennium. Ich spreche heute zum ersten Mal im Plenum und finde das ganz schön aufregend, ein wenig wie bei der ersten Liebe, nur daß die gewöhnlich länger als zwei Minuten dauert.
I would like to briefly comment on the Commission' s proposal to amend the directive on the transport of dangerous goods by road.	Ich möchte den Vorschlag der Kommission zur Änderung der Richtlinie über Gefahrguttransporte auf der Straße aus meiner Sicht kurz kommentieren.
It is good that this directive should be established now, as, otherwise, Member States would have to amend their national acts for a very short time, a period of transition, which would again mean unnecessary costs and which would once more increase concern with regard to EU bureaucracy.	Ich halte es für gut, diese Richtlinie jetzt zu erlassen, weil anderenfalls die Mitgliedstaaten ihre Rechtsvorschriften für einen sehr kurzen Zeitraum, eine Übergangsphase, ändern müßten, was einerseits unnötige Kosten verursachen und andererseits wieder einmal Verdruß bei den Bürgern über die Bürokratie der EU hervorrufen würde.
The Commission' s proposal, however, does not take account of all the facts, such as the cold climate that prevails in the northern regions.	In dem Vorschlag der Kommission werden jedoch nicht alle relevanten Fragen berücksichtigt, wie beispielsweise die kalten klimatischen Bedingungen in den nördlichen Regionen.
Consequently, I have tabled some amendments to Mr Koch' s intrinsically excellent report, which have been adopted by our committee.	Deshalb habe ich einige Änderungsanträge zu dem grundsätzlich ausgezeichneten Bericht von Herrn Koch eingebracht, die in unserem Ausschuß angenommen worden sind.
My amendments concern the frost-resistance ratings for tankers carrying these dangerous goods.	Meine Änderungsanträge betreffen die Frostbeständigkeit der Transportbehälter für Gefahrgut.
According to the Commission' s proposal -20ºC would have been sufficient.	Nach dem Vorschlag der Kommission wäre ein Grenzwert von -20 ºC ausreichend.
On the shores of the Mediterranean, it is hard to imagine that in Lapland temperatures can fall considerably lower than that.	Am Mittelmeer kann man sich schwer vorstellen, daß der Frost in Lappland erheblich niedrigere Temperaturen erreicht.
There is support for the EU in Lapland also, so let us remember them.	Auch in Lappland wird die EU befürwortet, so daß wir hier auch an die Menschen dort denken müssen.
I have thus proposed that the frost rating be lowered to -40ºC.	Deshalb habe ich vorgeschlagen, den Grenzwert für Frost auf -40 ºC herabzusetzen.
This would be necessary to keep safety standards at the level they were in northern regions previously.	Das wäre auch erforderlich, um das Sicherheitsniveau in den nördlichen Regionen beizubehalten.
I hope my proposal will be taken into consideration in tomorrow' s vote.	Ich hoffe, daß mein Vorschlag in der morgigen Abstimmung Berücksichtigung findet.
Mr President, with your permission I should like to begin by expressing my admiration for the way in which you executed the quick changeover of the chairmanship just now during the debate.	Herr Präsident, wenn Sie erlauben, möchte ich Ihnen erst einmal meinen Respekt dafür ausdrücken, wie Sie vorhin während der Debatte den fliegenden Wechsel im Vorsitz vollzogen haben.
I thought that it was quite superb.	Ich fand das ganz hervorragend.
On the subject at hand, I think that the people of Europe must be able to be confident that the goods - however dangerous they are - which are transported on Europe's roads, railways, and so on are as safe as possible.	Zum Thema: Ich denke, die Bürger Europas müssen sich darauf verlassen können, daß das, was auf Europas Straßen, Schienen usw. transportiert wird, wenn es denn auch noch gefährliche Güter sind, so sicher wie möglich ist.
This directive is a contribution to this.	Diese Richtlinie ist ein Beitrag dazu.
What we are doing today is essentially a nuisance.	Das, was wir heute machen, ist im Grunde genommen ein Ärgernis.
The rapporteur, Mr Koch, to whom we express our thanks for the work which he has done on this, has already pointed out that basically everything could have been somewhat more advanced had it not been for the inactivity on the part of the CEN, which has been very dilatory in drawing up and adapting the directive.	Der Berichterstatter Koch, dem wir unseren Dank für seine Arbeit, die er dabei geleistet hat, aussprechen, hat darauf hingewiesen, daß im Grunde genommen alles schon etwas weiter sein könnte, wenn es nicht dieses Versäumnis der CEN gäbe, die in der Erstellung und dem Angleichen der Richtlinie sehr säumig sind.
That is why we can only hope - and we should resolve all of this this week - that, in 2001, we will finally have Community regulations for the transport of dangerous goods by road so that we have a degree of legal certainty here and also so that our roads are a good deal safer.	Deswegen können wir nur hoffen - und wir sollten das in dieser Woche alles beschließen -, daß wir dann 2001 endlich gemeinschaftliche Regelungen für den Gefahrguttransport auf der Straße haben, so daß wir hier ein Stück Rechtssicherheit und auch ein Stück mehr Sicherheit auf unseren Straßen haben.
	Herr Präsident!
Mr President, the report we are discussing here does not, in itself, entail any major changes. Most of the proposed amendments are of a purely technical nature.	Der Bericht, den wir heute behandeln, hat im Grunde genommen keine großen Erneuerungen zur Folge, da die meisten Abänderungsanträge rein technischer Natur sind.
It is nonetheless worth emphasising that, each time we make this type of decision, it is good from a broad environmental perspective and it is beneficial because it creates better prior conditions for exploiting the possibilities of the internal market.	Es sollte jedoch unterstrichen werden, daß solche Beschlüsse stets einen positiven Beitrag zum Umweltschutz leisten und somit die Voraussetzungen für ein Funktionieren des Binnenmarktes verbessern.
Very large quantities of dangerous goods are transported around the EU, both on roads and railways and by sea.	In der EU werden große Mengen gefährlicher Güter auf der Straße, Schiene und Wasserstraße befördert, und dafür benötigen wir effektive Rechtsvorschriften.
This makes it necessary to have proper rules governing transport of this kind. In area after area, we are now obtaining common minimum regulations for the Member States.	Nun bekommen wir für alle möglichen Bereiche gemeinsame Mindestregelungen für die Mitgliedstaaten, was außerordentlich begrüßenswert ist.
This is extraordinarily positive, and there is cause to thank the rapporteur, Mr Koch, for the work he has put in on this issue.	Ich möchte daher dem Berichterstatter, Herrn Koch, für seine Arbeit zu dieser Frage danken.
This is also important where the prerequisites for the internal market are concerned.	Das ist auch für die Bedingungen des Binnenmarktes von Wichtigkeit.
If we are to get a common transport market genuinely up and running, it is important that we should not only have regulations but that these regulations should also, as far as possible, apply to every country.	Für einen wirklich funktionierenden gemeinsamen Verkehrsmarkt brauchen wir nicht nur Rechtsvorschriften schlechthin, sondern möglichst einheitliche Vorschriften.
I should like to conclude by commenting on a third matter which is also of significance, namely an amendment tabled by Member of Parliament, Mr Ari Vatanen.	Lassen Sie mich abschließend noch einen dritten Punkt kommentieren, den ich ebenfalls für sehr bedeutsam halte: den Abänderungsantrag des Abgeordneten Ari Vatanen.
In many ways, the prerequisites differ from one Member State to another.	Die Voraussetzungen in den einzelnen Mitgliedstaaten sind sehr verschieden.
By approving this amendment, we take account of the fact that it can be very cold in the northern parts of the European Union.	Durch die Annahme dieses Antrags tragen wir der Tatsache Rechnung, daß es in den nördlichen Teilen der Union sehr kalt werden kann.
This makes it necessary to also take account of the ways in which materials and packaging are affected by cold of this kind.	Die Auswirkungen dieser Kälte auf Material und Verpackung darf nicht außer acht gelassen werden.
It is good that, in establishing the present regulations, we can also be flexible. I hope that the Commission is able to accept the present amendment.	Herr Präsident, ich betrachte es als positiv, daß diese Regelung flexibel gestaltet werden kann und hoffe, die Kommission wird diese Änderung annehmen.
Mr President, I would like to thank not only Mr Koch, but also the Vice-President of the Commission for the clear and unambiguous way in which they have declared their support for safety in the transport sector and acknowledged it as a priority.	Herr Präsident, ich möchte nicht nur dem Kollegen Koch, sondern auch der Vizepräsidentin der Kommission dafür danken, daß sie sich so klar und eindeutig zur Sicherheit im Verkehrsbereich und zur Priorität der Sicherheit bekannt hat.
The reason Mr Koch produced his sound report was because the work in the CEN and within the United Nations Economic Commission was proceeding none too expeditiously.	Der Kollege Koch hat seinen guten Bericht gemacht, weil im CEN und auch im Rahmen der Wirtschaftskommission der Vereinten Nationen die Arbeit nicht so expeditiv gemacht wurde.
I would like to ask the Vice-President if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations, and whether the EU is in a position to hasten these harmonisation efforts, in accordance with principles that are as simple as possible.	Ich möchte die Vizepräsidentin fragen, ob sie uns heute sagen kann, wie der Stand der Dinge bei den Harmonisierungsbestrebungen dieser beiden Organisationen ist, und ob die EU die Möglichkeit hat, die Harmonisierungsbestrebungen nach möglichst einfachen Prinzipien zu beschleunigen.
For one thing is clear: even if we come to an excellent arrangement within the European Union, traffic does not stop at our borders, it goes beyond them.	Denn es ist klar: Selbst wenn wir innerhalb der Europäischen Union eine tolle Regelung treffen, der Verkehr macht nicht Halt an diesen Grenzen, er geht darüber hinaus.
Hence there is certainly every reason to introduce more far-reaching regional provisions.	Daher sind weitergehende, nämlich regional weitergehende Regelungen sicherlich sinnvoll.
If the Commissioner is unable to do so today then would she be prepared to inform the committee in writing of how matters stand and what stage negotiations between the CEN and the Economic Commission are at?	Wenn die Frau Kommissarin das heute nicht machen kann, wäre sie dann bereit, dem Ausschuß schriftlich den Stand der Dinge und den Stand der Verhandlungen zwischen CEN und Wirtschaftskommission zu übermitteln?
Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way supplements the debate which we held in October on rail transport.	Herr Präsident! Ich möchte Herrn Koch noch einmal für seine Arbeit an diesem anderen Bericht gratulieren, der in gewisser Weise die Aussprache vom Oktober über den Schienenverkehr ergänzt.
We all regret that the European Committee for Standardisation (CEN) has not been able, in the required time, to carry out the amendment of the provisions necessary for the required harmonisation within the European Union.	Wir alle bedauern, daß das Europäische Komitee für Normung (CEN) nicht in der Lage gewesen ist, in der geforderten Zeit die notwendige Vorschriftenänderung für eine entsprechende Harmonisierung im Geltungsbereich der Europäischen Union durchzuführen.
This debate and the amendment of the directive currently in force allow us to incorporate differentiating elements which demonstrate the diversity of this Europe of ours.	Diese Aussprache und die Änderung der gegenwärtig geltenden Richtlinie ermöglichen uns die Berücksichtigung unterschiedlicher Gegebenheiten, die Ausdruck der Vielfalt unseres Europas sind.
A moment ago, Mr Vatanen spoke to us of lower temperatures, not of 20 degrees below zero, but of 40 degrees below zero.	Vor wenigen Augenblicken sprach Herr Vatanen von Temperaturen, die nicht nur unter 20 Grad minus, sondern unter 40 Grad minus liegen.
Of course, we accept that amendment - it is absolutely right - and I believe that we should incorporate specific circumstances which demonstrate the climatic diversity of the European Union, which sometimes take the form of specifics and of concrete requirements for the establishment of standards and characterisations of a technical nature.	Natürlich akzeptieren wir diesen Änderungsantrag, er ist völlig vernünftig, und ich glaube, es müssen konkrete Situationen in Betracht gezogen werden, die von der klimatischen Verschiedenartigkeit der Europäischen Union zeugen, die manchmal bei der Prüfung der Normungen und Charakterisierungen technischer Art in spezifische Festlegungen und konkrete Anforderungen umgesetzt werden.
I would like to say, with regard to Mr Swoboda' s comments on the activity of the CEN, that we are urging them to speed up their work as much as possible because it would be terrible if, despite the new deadline, we were to find ourselves after a year and a bit with the same difficulties because their work has not been concluded.	Zu den Worten von Herrn Swoboda über die Tätigkeit des CEN möchte ich sagen, daß wir sie drängen, ihre Arbeit maximal zu beschleunigen, denn es wäre dramatisch, wenn wir trotz der neuen Frist nach etwas mehr als einem Jahr vor den gleichen Schwierigkeiten stehen würden, weil die Arbeiten nicht zum Abschluß gebracht wurden.
Lastly, Mr President, the basic problems justifying this amendment of the directive have been pointed out. We have referred to the delay by the CEN, the amendment of certain provisions, the consistency between the text of the directive and the content of the annexes and the need to for it to be more specific.	Schließlich, Herr Präsident, sind bereits die Hauptprobleme dargelegt worden, die diese Änderung der Richtlinie rechtfertigen, wir sind auf die Verzögerung beim CEN, auf die Änderung einiger Vorschriften, auf die Übereinstimmung zwischen dem Wortlaut der Richtlinie und dem Inhalt der Anhänge sowie auf die Notwendigkeit einer stärkeren Präzisierung eingegangen.
The Commission accepts all of the contributions of the parliamentary committee and the rapporteur, Mr Koch, which are contained in the various amendments, specifically four.	Alle Beiträge des parlamentarischen Ausschusses und des Berichterstatters, Herrn Koch, die in verschiedenen, konkret in vier, Änderungsanträgen zum Ausdruck kommen, werden von der Kommission aufgegriffen.
We therefore accept the four amendments which have been proposed.	Wir akzeptieren also die uns unterbreiteten vier Änderungsanträge.
The debate is closed.	Die Aussprache ist geschlossen.
The vote will take place tomorrow at 12 p.m.	Die Abstimmung findet morgen um 12.00 Uhr statt.
Structural Funds - Cohesion Fund coordination	Koordinierung Strukturfonds/Kohäsionsfonds
The next item is the report (A5-0108/1999) by Mrs Schroedter, on behalf of the Committee on Regional Policy, Transport and Tourism, on the communication from the Commission in the field of the Structural Funds and their coordination with the Cohesion Fund: guidelines for programmes in the period 2000-2006 [COM(1999)344 - C5-0122/1999 - 1999/2127(COS)].	Nach der Tagesordnung folgt der Bericht (A5-0108/1999) von Frau Schroedter im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr über die Mitteilung der Kommission: Die Strukturfonds und ihre Koordinierung mit dem Kohäsionsfonds - Leitlinien für die Programme des Zeitraums 2000-2006 (KOM(1999)344 - C5-0122/1999 - 1999/2127(COS)).
Mr President, it is particularly pleasing for me to make my first speech in the European Parliament on what is regarded as the most important issue within that part of the United Kingdom that I represent in this Parliament, namely Wales.	Herr Präsident, ich freue mich ganz besonders, daß mein erster Beitrag im Europäischen Parlament einem Thema gewidmet ist, das in dem Teil des Vereinigten Königreichs, den ich in diesem Parlament vertrete, nämlich Wales, als das wichtigste Thema überhaupt gilt.
A major part of Wales, as you know, has been granted Objective 1 status under the Structural Funds programme.	Wie Sie wissen, wurde einem beträchtlichen Teil von Wales gemäß Strukturfondsprogramm der Status einer Ziel-1-Region zuerkannt.
It is quite clear that many people within Wales are looking to the European Structural Funds programme to alleviate some of the great difficulties that we undoubtedly face.	Und so erwarten auch viele Menschen in Wales, daß die Europäischen Strukturfonds ihnen bei der Überwindung einiger der gewaltigen Schwierigkeiten, mit denen wir ohne Zweifel zu kämpfen haben, hilft.
We have seen poverty growing in Wales; and growing still further since 1997.	Die Armut in Wales nimmt weiter zu, wobei sie seit 1997 besonders stark ansteigt.
We have seen the gap between rich and poor widen.	Die Kluft zwischen Arm und Reich wird immer tiefer.
We are looking, therefore, within the Structural Funds programme not just to see industrial restructuring but also to see a wider improvement in the whole of the economic base within the Principality.	Wir erhoffen uns daher vom Strukturfondsprogramm nicht nur eine wirtschaftliche Umstrukturierung, sondern eine weitreichendere Verbesserung der wirtschaftlichen Basis des Landesteils.
What is, however, deeply damaging for us is the belief that in some way the granting of Structural Funds assistance is something that has been, in a sense, a success of the government.	Was uns jedoch schwer zu schaffen macht, ist die Tatsache, daß die Gewährung von Unterstützung im Rahmen der Strukturfonds in gewisser Weise als Erfolg der Regierung verbucht wird.
It is sadly only a recognition of the very great difficulties that Wales faces.	Dabei ist es doch nur ein weiterer Ausdruck für die immensen Schwierigkeiten, vor denen Wales steht.
That is why I want to highlight some of the issues that I believe the Commission must have at the forefront.	Deshalb möchte ich auf einige Probleme aufmerksam machen, denen sich die Kommission vorrangig widmen sollte.
We look to the Commission to deal with points in relation to additionality.	Wir erwarten von der Kommission, daß sie Problemen im Zusammenhang mit der Zusätzlichkeit mehr Aufmerksamkeit widmet.
We are dissatisfied with the fact that those figures seem to have been in some way hidden within UK figures.	Wir halten es für falsch, daß die entsprechenden Zahlen in gewisser Weise in den Zahlen für das Vereinigte Königreich untergegangen sind.
We look to the Commission also to ensure that there is matched funding for projects.	Wir erwarten von der Kommission, daß es einen ergänzenden Finanzierungsanteil für die Vorhaben gibt.
We look to it to challenge the UK Government, to ensure that the private sector, which surely must be providing the major impetus for Structural Funds expenditure, is involved in the planning stage.	Wir erwarten, daß sie die britische Regierung drängt sicherzustellen, daß der private Sektor, der zweifellos die treibende Kraft im Hinblick auf die Bereitstellung von Mitteln im Rahmen der Strukturfonds darstellen muß, in die Planung einbezogen wird.
Finally, we ask that the Commission ensures that Structural Fund monies are spent in a way which is transparent.	Schließlich bitten wir die Kommission, für mehr Transparenz bei der Ausgabe von Strukturfondsgeldern zu sorgen.
Too much of what takes place within this Parliament is not transparent.	Zu vielem, was in diesem Parlament passiert, mangelt es an Transparenz.
This is one area in which I believe the Commission can be a very great friend to Wales.	Dies ist ein Bereich, in dem sich die Kommission, wie ich meine, als wahrer Freund von Wales erweisen kann.
Mr President, our committee views these issues very differently and, to start, I will speak from the point of view of research.	Herr Präsident! Unser Ausschuß erörtert die vorliegenden Fragen aus vielen unterschiedlichen Blickwinkeln.
We see it as a very positive sign that, in her own conclusions, the rapporteur has taken account of our committee' s proposal that the Cohesion Fund countries should broaden the research infrastructure by locating universities and colleges in such a way that they would serve those who live in undeveloped regions better than now and make it easier for educated people to remain in their home districts.	Zunächst möchte ich mich zum Forschungsaspekt äußern. Wir erachten es als sehr positiv, daß die Berichterstatterin den Vorschlag unseres Ausschusses in ihre Schlußfolgerungen aufgenommen hat, wonach in den Kohäsionsländern die wissenschaftliche Infrastruktur ausgedehnt werden muß, indem Hochschulen und Bildungseinrichtungen an solchen Orten geschaffen werden, an denen sie besser als bisher den Bewohnern unterentwickelter Regionen zur Verfügung stehen, und es Absolventen erleichtert wird, in ihren Heimatregionen zu verbleiben.
This will be possible with action on the part of governments, and such decentralisation of higher education will be an unquestionably useful policy in evening out development.	Das wird durch staatliche Maßnahmen ermöglicht, und eine solche Dezentralisation der höheren Ausbildung ist nachgerade eine sinnvolle Politik für eine ausgeglichene Entwicklung.
Another matter we would like to address, specifically from the point of view of industrial policy, is that we would have liked the Commission to pay more attention to the effects of services, electronic commerce and the growing use of the Internet, when they were planning the coordination of Structural Funds and Cohesion Funds.	In einer anderen Frage, auf die wir besonders unter dem Blickwinkel der Industriepolitik aufmerksam machen möchten, hätten wir uns gewünscht, daß die Kommission bei der Planung der Koordinierung von Kohäsionsfonds und Strukturfonds die Auswirkungen des Wachstums des Dienstleistungssektors, des elektronischen Handels und der Nutzung des Internets mehr berücksichtigt hätte.
Poverty and wealth used to depend more on means of livelihood.	Armut und Reichtum hingen früher mehr von der Wirtschaftsstruktur ab.
The rich areas were those where there were jobs in industry, but today those areas might have become a burden, and they may well be poor, meaning we also have to invest in new sectors of industry such as electronic production, as I might call it, and the production of services, because they are the industries of the future.	Reich waren jene Regionen, in denen es Arbeitsplätze in der Industrie gab. Jetzt sind aus diesen Regionen teilweise Problemfälle und arme Gebiete geworden, wo auch in neue Branchen wie Elektronik und Dienstleistungen investiert werden muß, weil diese als zukunftsweisende Bereiche gelten.
In my opinion the committee drafting the report has not taken sufficient account of this, so on behalf of the Committee on Industry, External Trade, Research and Energy, I would draw the Commission' s attention to this issue.	Diese Tatsache hat der federführende Ausschuß meines Erachtens in seinem Bericht nicht ausreichend berücksichtigt, so daß ich die Kommission im Namen des Industrieausschusses darauf hinweisen möchte.
Finally, as the committee representing energy, we would have liked the issue of support for renewable energy resources from Cohesion and Regional Development funds to have been emphasised still more, thus, through a process of coordination, increasing the use of renewables so that the scant funding resources in the energy programme might have been compensated by means of these more substantial sums.	Als Ausschuß für Energie hätten wir uns schließlich noch gewünscht, daß die Förderung der erneuerbaren Energien aus den Mitteln des Kohäsions- und Strukturfonds eine noch größere Rolle gespielt hätte. Auf diese Weise hätte mittels Koordinierung die Nutzung dieser erneuerbaren Energieformen so entwickelt werden können, daß unzureichende Finanzmittel des Energieprogramms durch diese umfangreicheren Mittel kompensiert werden.
Mr President, I would very much like to thank Mrs Schroedter for the work she has done on this and to explain to colleagues that I am speaking for my colleague, Mrs Flautre, who followed this for the Committee on Employment and Social Affairs but who is unfortunately ill.	Herr Präsident, ich möchte Frau Schroedter ganz herzlich für die von ihr zu diesem Thema geleistete Arbeit danken. Gleichzeitig möchte ich erklären, daß ich im Namen meiner Kollegin Frau Flautre spreche, die die Stellungnahme im Auftrag des Ausschusses für Beschäftigung und soziale Angelegenheiten erarbeitet hat und leider erkrankt ist.
I would like to draw people's attention to Amendments Nos 1 and 2 which were agreed by the Committee on Employment and Social Affairs but not accepted by the Committee on Regional Policy, Transport and Tourism.	Ich möchte Ihre Aufmerksamkeit auf die Änderungsanträge 1 und 2 lenken, die vom Ausschuß für Beschäftigung und soziale Angelegenheiten vorgelegt, jedoch vom Ausschuß für Regionalpolitik, Verkehr und Fremdenverkehr abgelehnt wurden.
