Resumption of the session	Reprise de la session
According to the Commission' s proposal -20ºC would have been sufficient. On the shores of the Mediterranean, it is hard to imagine that in Lapland temperatures can fall considerably lower than that.	D' après la proposition de la Commission, une limite de ­20º aurait été suffisante ; il est difficile de s' imaginer, quand on est bord de la Méditerranée, qu' en Laponie la température descend nettement en dessous de cette limite.
There is support for the EU in Lapland also, so let us remember them.	En Laponie aussi, les gens sont favorables à l' Union européenne, pensons donc à eux.
I have thus proposed that the frost rating be lowered to -40ºC.	C' est pourquoi j' ai proposé que la limite soit abaissée à -40º.
This would be necessary to keep safety standards at the level they were in northern regions previously.	Cette mesure serait réellement nécessaire pour maintenir à son niveau la sécurité des transports dans les régions septentrionales.
I hope my proposal will be taken into consideration in tomorrow' s vote.	J' espère que ma proposition sera prise en considération lors du vote de demain.
Mr President, with your permission I should like to begin by expressing my admiration for the way in which you executed the quick changeover of the chairmanship just now during the debate.	Monsieur le Président, si vous le permettez, je voudrais tout d'abord vous féliciter de la diligence dont vous avez témoigné en reprenant au vol la présidence au cours de ce débat.
I thought that it was quite superb.	J'ai trouvé cela tout à fait exceptionnel.
On the subject at hand, I think that the people of Europe must be able to be confident that the goods - however dangerous they are - which are transported on Europe's roads, railways, and so on are as safe as possible.	Pour ce qui est du thème proprement dit, je pense que les citoyens d'Europe doivent pouvoir compter sur le fait que les marchandises transportées sur les routes, les voies ferrées et autres voies de transport européennes, qu'il s'agisse ou non de marchandises dangereuses, sont transportées d'une manière aussi sûre que possible.
This directive is a contribution to this.	Cette directive y contribue.
What we are doing today is essentially a nuisance.	Dans le fond, ce que nous faisons est contrariant.
The rapporteur, Mr Koch, to whom we express our thanks for the work which he has done on this, has already pointed out that basically everything could have been somewhat more advanced had it not been for the inactivity on the part of the CEN, which has been very dilatory in drawing up and adapting the directive.	Le rapporteur, M. Koch, que nous remercions pour le travail qu'il a accompli, a signalé que, dans le fond, tout ceci pourrait déjà être un peu plus avancé sans la négligence du CEN, qui a énormément tardé à élaborer et à harmoniser la directive.
That is why we can only hope - and we should resolve all of this this week - that, in 2001, we will finally have Community regulations for the transport of dangerous goods by road so that we have a degree of legal certainty here and also so that our roads are a good deal safer.	Nous ne pouvons donc qu'espérer - et nous devrions prendre toutes les décisions à cet effet au cours de cette semaine - qu'en 2001, nous disposions enfin de réglementations communautaires pour le transport de marchandises dangereuses par route afin d'avancer en matière de sécurité juridique et aussi de sécurité sur nos routes.
Mr President, the report we are discussing here does not, in itself, entail any major changes.	Monsieur le Président, le rapport auquel nous avons à faire n' implique pas, en soi, de grands changements.
Most of the proposed amendments are of a purely technical nature.	La plupart des propositions d' amendement sont de nature purement technique.
It is nonetheless worth emphasising that, each time we make this type of decision, it is good from a broad environmental perspective and it is beneficial because it creates better prior conditions for exploiting the possibilities of the internal market.	Néanmoins, il vaut la peine de souligner que chaque fois que nous prenons une décision de ce type, c' est une bonne chose du point de vue de l' environnement, en l' occurrence parce que cette disposition créera de meilleures conditions pour le fonctionnement du marché intérieur.
Very large quantities of dangerous goods are transported around the EU, both on roads and railways and by sea.	De grandes quantités de marchandises dangereuses sont transportées via les routes, le réseau ferroviaire et les ports de l' Union européenne.
This makes it necessary to have proper rules governing transport of this kind.	Il est donc nécessaire d'adopter des réglementations adéquates pour régir ces transports.
In area after area, we are now obtaining common minimum regulations for the Member States.	Nous obtenons progressivement, secteur après secteur, que les États membres appliquent des règles minimales communes.
This is extraordinarily positive, and there is cause to thank the rapporteur, Mr Koch, for the work he has put in on this issue.	C' est une évolution tout à fait positive, et nous avons tout lieu de remercier le rapporteur, M. Koch, pour le travail qu' il a réalisé sur ce sujet.
This is also important where the prerequisites for the internal market are concerned.	C' est également une question importante au regard des conditions de fonctionnement du marché intérieur.
If we are to get a common transport market genuinely up and running, it is important that we should not only have regulations but that these regulations should also, as far as possible, apply to every country.	Si nous voulons faire en sorte que fonctionne réellement le marché commun des transports à l' échelle de l' Union, il est important non seulement que des règles existent, mais que, dans toute la mesure du possible, ces règles nous soient communes.
I should like to conclude by commenting on a third matter which is also of significance, namely an amendment tabled by Member of Parliament, Mr Ari Vatanen.	Enfin, je voudrais commenter un troisième point qui me paraît également essentiel, à savoir une proposition d' amendement qui a été déposée par M. Ari Vatanen.
In many ways, the prerequisites differ from one Member State to another.	Le contexte que connaissent nos différents États membres est, à bien des égards, divers.
By approving this amendment, we take account of the fact that it can be very cold in the northern parts of the European Union.	Cette proposition d' amendement a pour but que l' on tienne compte des grands froids que peuvent connaître les régions septentrionales de l' Union.
This makes it necessary to also take account of the ways in which materials and packaging are affected by cold of this kind.	C' est une circonstance particulière qui exige que l' on prenne aussi en considération l' effet que peuvent avoir ces températures très basses sur les marchandises et leurs emballages.
It is good that, in establishing the present regulations, we can also be flexible.	Monsieur le Président, le fait d' imprimer une certaine souplesse à cette réglementation est positif.
I hope that the Commission is able to accept the present amendment.	J' espère que la Commission acceptera cet amendement.
Mr President, I would like to thank not only Mr Koch, but also the Vice-President of the Commission for the clear and unambiguous way in which they have declared their support for safety in the transport sector and acknowledged it as a priority.	Monsieur le Président, je voudrais remercier non seulement M. Koch mais aussi la vice-présidente de la Commission pour s'être engagée aussi clairement en faveur de la sécurité dans le domaine des transports et avoir reconnu le caractère prioritaire de celle-ci.
The reason Mr Koch produced his sound report was because the work in the CEN and within the United Nations Economic Commission was proceeding none too expeditiously.	Si M. Koch a rédigé son bon rapport, c'est parce que le travail n'a pas été exécuté de manière trop rapide au sein du CEN et de la commission économique des Nations unies.
I would like to ask the Vice-President if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations, and whether the EU is in a position to hasten these harmonisation efforts, in accordance with principles that are as simple as possible.	Je voudrais demander à la vice-présidente si elle peut nous dire où en sont les efforts d'harmonisation déployés par ces deux organisations et si l'UE a la possibilité d'accélérer ces efforts en appliquant des principes aussi simples que possibles.
For one thing is clear: even if we come to an excellent arrangement within the European Union, traffic does not stop at our borders, it goes beyond them.	Car une chose est claire : même si nous adoptons une excellente réglementation au sein de l'Union européenne, le trafic ne s'arrête pas à ces frontières ; il les traverse.
Hence there is certainly every reason to introduce more far-reaching regional provisions.	C'est pourquoi des réglementations plus larges, à savoir plus larges sur le plan régional, sont certainement judicieuses.
If the Commissioner is unable to do so today then would she be prepared to inform the committee in writing of how matters stand and what stage negotiations between the CEN and the Economic Commission are at?	Si Mme la commissaire ne peut le faire aujourd'hui, serait-elle prête à communiquer par écrit à la commission la situation actuelle et l'état des négociations entre le CEN et la commission économique ?
Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way supplements the debate which we held in October on rail transport.	Monsieur le Président, je réitère de nouveau mes félicitations à M. Koch du travail qu'il a accompli pour cet autre rapport, qui vient compléter d'une certaine manière le débat que nous avons eu au mois d'octobre sur le transport par rail.
We all regret that the European Committee for Standardisation (CEN) has not been able, in the required time, to carry out the amendment of the provisions necessary for the required harmonisation within the European Union.	Nous regrettons tous que le Comité européen de normalisation (CEN) n'ait pas été capable de réaliser dans les délais fixés la modification des dispositions nécessaire pour parvenir à une harmonisation appropriée au sein de l'Union européenne.
This debate and the amendment of the directive currently in force allow us to incorporate differentiating elements which demonstrate the diversity of this Europe of ours.	Ce débat et la modification de la directive actuellement en vigueur nous permettent d'introduire des faits différentiels qui témoignent de la diversité de notre Europe.
A moment ago, Mr Vatanen spoke to us of lower temperatures, not of 20 degrees below zero, but of 40 degrees below zero.	Il y a quelques instants, M. Vatanen nous parlait de températures inférieures, non plus à -20 degrés, mais à -40 degrés.
Of course, we accept that amendment - it is absolutely right - and I believe that we should incorporate specific circumstances which demonstrate the climatic diversity of the European Union, which sometimes take the form of specifics and of concrete requirements for the establishment of standards and characterisations of a technical nature.	Nous acceptons bien évidemment cet amendement, qui est tout à fait justifié, et je pense qu'il faut introduire des circonstances concrètes qui témoignent de la variété climatique de l'Union européenne, qui se traduit parfois en spécificités et en exigences concrètes au moment où il s'agit d'envisager des normalisations ou caractérisations de type technique.
I would like to say, with regard to Mr Swoboda' s comments on the activity of the CEN, that we are urging them to speed up their work as much as possible because it would be terrible if, despite the new deadline, we were to find ourselves after a year and a bit with the same difficulties because their work has not been concluded.	Par rapport à ce qu'a déclaré M. Swoboda au sujet de l'activité du CEN, je voudrais dire que nous insistons auprès d'eux pour qu'ils accélèrent au maximum leur travail car ce serait dramatique que, malgré le nouveau délai, nous nous retrouvions dans un peu plus d'un an devant les mêmes difficultés pour avoir été incapables d'y apporter une solution.
Lastly, Mr President, the basic problems justifying this amendment of the directive have been pointed out. We have referred to the delay by the CEN, the amendment of certain provisions, the consistency between the text of the directive and the content of the annexes and the need to for it to be more specific.	Pour terminer, Monsieur le Président, nous avons déjà mis en évidence les problèmes fondamentaux qui justifient cette modification de la directive, nous avons mentionné le retard du CEN, la modification de quelques dispositions, la cohérence entre le texte de la directive et le contenu des annexes, la nécessité d'apporter une plus grande précision.
The Commission accepts all of the contributions of the parliamentary committee and the rapporteur, Mr Koch, which are contained in the various amendments, specifically four.	Tous les apports de la commission parlementaire et du rapporteur, M. Koch, qui ont débouché sur différents amendements, concrètement quatre, sont repris par la Commission.
We therefore accept the four amendments which have been proposed.	Nous acceptons donc les quatre amendements qui nous ont été proposés.
The debate is closed.	Le débat est clos.
The vote will take place tomorrow at 12 p.m.	Le vote aura lieu demain à 12 heures.
Structural Funds - Cohesion Fund coordination	Coordination Fonds structurels/Fonds de cohésion
The next item is the report (A5-0108/1999) by Mrs Schroedter, on behalf of the Committee on Regional Policy, Transport and Tourism, on the communication from the Commission in the field of the Structural Funds and their coordination with the Cohesion Fund: guidelines for programmes in the period 2000-2006 [COM(1999)344 - C5-0122/1999 - 1999/2127(COS)].	L'ordre du jour appelle le rapport (A5-0108/1999) de Mme Schroedter, au nom de la commission de la politique régionale, des transports et du tourisme, sur la communication de la Commission "Les Fonds structurels et leur coordination avec le Fonds de cohésion. Orientations pour les programmes de la période 2000-2006" (COM(1999)344 - C5-0122/1999 - 1999/2127(COS)).
Mr President, it is particularly pleasing for me to make my first speech in the European Parliament on what is regarded as the most important issue within that part of the United Kingdom that I represent in this Parliament, namely Wales.	Monsieur le Président, je suis particulièrement ravi de ce que ma première intervention au Parlement européen porte sur ce que la région du Royaume-Uni que je représente au sein de ce Parlement, à savoir le pays de Galles, considère comme le sujet le plus important.
A major part of Wales, as you know, has been granted Objective 1 status under the Structural Funds programme.	Vous n'êtes pas sans savoir que la majeure partie du pays de Galles est devenu éligible à l'objectif 1 du programme de fonds structurels.
It is quite clear that many people within Wales are looking to the European Structural Funds programme to alleviate some of the great difficulties that we undoubtedly face.	Il est clair que nombreux sont ceux qui, au pays de Galles, voient le programme de fonds structurels comme un moyen pour enrayer certaines des grandes difficultés auxquelles nous sommes indubitablement confrontés.
We have seen poverty growing in Wales; and growing still further since 1997.	Nous avons constaté que la pauvreté va croissant au pays de Galles, tendance qui se renforce depuis 1997.
We have seen the gap between rich and poor widen.	Nous avons vu le fossé entre les riches et les pauvres se creuser.
We are looking, therefore, within the Structural Funds programme not just to see industrial restructuring but also to see a wider improvement in the whole of the economic base within the Principality.	Nous attendons donc du programme de fonds structurels qu'il ne se limite pas à envisager une restructuration industrielle, nous souhaitons qu'il apporte également de plus larges améliorations à l'ensemble de la base économique du pays de Galles.
What is, however, deeply damaging for us is the belief that in some way the granting of Structural Funds assistance is something that has been, in a sense, a success of the government. It is sadly only a recognition of the very great difficulties that Wales faces.	Ce qui nous porte cependant un grand préjudice, c'est de croire que, d'une certaine manière, l'octroi des fonds structurels a été une victoire du gouvernement, alors qu'il ne fait que reconnaître que le pays de Galles est bien confronté à de très grandes difficultés.
That is why I want to highlight some of the issues that I believe the Commission must have at the forefront.	C'est pourquoi je voudrais souligner certains points que la Commission devrait, d'après moi, placer au premier plan.
We look to the Commission to deal with points in relation to additionality.	Nous espérons que la Commission traitera des points liés à l'additionnalité.
We are dissatisfied with the fact that those figures seem to have been in some way hidden within UK figures.	Nous déplorons que, d'une certaine manière, les chiffres britanniques aient masqué les chiffres gallois.
We look to the Commission also to ensure that there is matched funding for projects.	Nous espérons également que la Commission dotera les projets des financements appropriés.
We look to it to challenge the UK Government, to ensure that the private sector, which surely must be providing the major impetus for Structural Funds expenditure, is involved in the planning stage.	Nous espérons qu'elle garantira, en allant à l'encontre du gouvernement britannique, la participation du secteur privé à la phase de planification, tant il est sûr que celui-ci doit fournir le principal élan aux dépenses des fonds structurels.
Finally, we ask that the Commission ensures that Structural Fund monies are spent in a way which is transparent.	Enfin, nous demandons à la Commissions de faire en sorte que les fonds structurels soient dépensés de manière transparente.
Too much of what takes place within this Parliament is not transparent.	Au sein de ce Parlement, la transparence fait trop souvent défaut.
This is one area in which I believe the Commission can be a very great friend to Wales.	Dans ce domaine, la Commission peut devenir la grande amie du pays de Galles.
Mr President, our committee views these issues very differently and, to start, I will speak from the point of view of research.	Monsieur le Président, notre commission traite ces questions sous bien des angles différents, et pour commencer je parlerai de l' angle de la recherche.
We see it as a very positive sign that, in her own conclusions, the rapporteur has taken account of our committee' s proposal that the Cohesion Fund countries should broaden the research infrastructure by locating universities and colleges in such a way that they would serve those who live in undeveloped regions better than now and make it easier for educated people to remain in their home districts.	Nous estimons fort positif que, dans ses conclusions, le rapporteur ait tenu compte de notre proposition selon laquelle les infrastructures de la recherche devraient être élargies dans les pays de la cohésion en implantant les écoles professionnelles et les universités de telle sorte qu' elles servent mieux les populations des régions les moins développées et qu' elles permettent aux personnes formées de demeurer dans leur région d' origine.
This will be possible with action on the part of governments, and such decentralisation of higher education will be an unquestionably useful policy in evening out development.	C' est quelque chose qu' il est possible de réaliser en prenant des mesures au niveau des pouvoirs publics. Une telle décentralisation de l' enseignement supérieur est incontestablement une politique utile quand il s' agit de garantir le développement.
Another matter we would like to address, specifically from the point of view of industrial policy, is that we would have liked the Commission to pay more attention to the effects of services, electronic commerce and the growing use of the Internet, when they were planning the coordination of Structural Funds and Cohesion Funds.	Le deuxième point sur lequel nous voulions attirer l' attention, précisément dans l' optique de la politique industrielle, c' est que nous aurions souhaité qu' en réfléchissant à la coordination des Fonds structurels et du Fonds de cohésion, la Commission attache une plus grande attention à l' incidence de la progression des services, du commerce électronique et de l' utilisation de l' Internet.
Poverty and wealth used to depend more on means of livelihood.	Autrefois, la pauvreté et la richesse étaient plus tributaires des structures de la vie économique.
The rich areas were those where there were jobs in industry, but today those areas might have become a burden, and they may well be poor, meaning we also have to invest in new sectors of industry such as electronic production, as I might call it, and the production of services, because they are the industries of the future.	Les régions riches étaient celles où il y avait des emplois industriels, alors qu' aujourd' hui ces régions peuvent très bien être devenues un fardeau et être pauvres. Il devient donc nécessaire de procéder aussi à des investissements dans les nouveaux secteurs d' activité, la production dite "électronique" et la production de services électroniques, parce que ce sont des secteurs d' avenir.
In my opinion the committee drafting the report has not taken sufficient account of this, so on behalf of the Committee on Industry, External Trade, Research and Energy, I would draw the Commission' s attention to this issue.	À mon avis, la commission chargée de l' élaboration du rapport n' a pas suffisamment pris en considération cet aspect dans son propre rapport, et c' est pourquoi, au nom de la commission de l' industrie, du commerce extérieur, de la recherche et de l' énergie, j' attire l' attention de la Commission européenne là-dessus.
Finally, as the committee representing energy, we would have liked the issue of support for renewable energy resources from Cohesion and Regional Development funds to have been emphasised still more, thus, through a process of coordination, increasing the use of renewables so that the scant funding resources in the energy programme might have been compensated by means of these more substantial sums.	Enfin, puisque notre commission s' occupe de questions énergétiques, nous aurions souhaité que l' on insiste encore davantage sur le soutien à apporter aux énergies renouvelables grâce aux ressources des Fonds structurels et du Fonds de cohésion, ce qui aurait permis, par un processus de coordination, d' augmenter l' exploitation des formes d' énergie renouvelables, de telle sorte que l' insuffisance des ressources de financement du programme Énergie aurait pu être compensée grâce à ces fonds plus conséquents.
Mr President, I would very much like to thank Mrs Schroedter for the work she has done on this and to explain to colleagues that I am speaking for my colleague, Mrs Flautre, who followed this for the Committee on Employment and Social Affairs but who is unfortunately ill.	Monsieur le Président, je souhaite vivement remercier Mme Schroedter pour le travail qu'elle a accompli dans ce domaine et expliquer aux députés que j'interviens au nom de ma collègue, Mme Flautre, qui a suivi ce sujet pour la commission de l'emploi et des affaires sociales mais qui est hélas malade.
I would like to draw people's attention to Amendments Nos 1 and 2 which were agreed by the Committee on Employment and Social Affairs but not accepted by the Committee on Regional Policy, Transport and Tourism.	Je voudrais attirer l'attention sur les amendements 1 et 2 que la commission de l'emploi et des affaires sociales a approuvés, mais que la commission de la politique régionale, des transports et du tourisme n'a pas acceptés.
These amendments deal with the social economy and the need to provide social risk capital and support financially local schemes to develop employment opportunities and strengthen social cohesion.	Ces amendements ont trait à l'économie sociale et à la nécessité de mettre en place un social risk capital et de soutenir financièrement des plans locaux de développement des potentialités en matière d'emploi et de renforcement de la cohésion sociale.
In the past, this Parliament has viewed the social economy as an important potential provider of employment.	Dans le passé, le Parlement a envisagé l'économie sociale comme un fournisseur potentiel important d'emplois.
These amendments also fit in with this Parliament's view that social exclusion is a serious issue needing constructive action.	Ces amendements vont dans le sens de l'avis du Parlement selon lequel l'exclusion sociale est un problème grave qui appelle une action constructive.
We hope that those considering rejection of these amendments have very powerful reasons to offer to both Parliament and their citizens who are seeking employment.	Nous espérons que ceux qui envisagent de voter contre ces amendements pourront donner de bonnes raisons de leur choix au Parlement et aux citoyens qui sont à la recherche d'un emploi.
In her report, Mrs Flautre also drew attention to an area where coordination is sorely lacking, yet desperately needed.	Dans son rapport, Mme Flautre souligne également un domaine où il y a un manque cruel de coordination, alors qu'on en a désespérément besoin.
The Commission proposals refer to the four pillars of employment strategy and the five fields of action of the European Social Fund.	Les propositions de la Commission se réfèrent aux quatre piliers de la stratégie d'emploi et aux cinq domaines d'actions du Fonds social européen.
But the lack of specific guidelines here is particularly to be regretted, as the idea of linking Social Fund assistance to the employment strategy will be put into effect for the first time during the 2000-2006 programme.	Mais le manque de lignes directrices est ici particulièrement regrettable, alors que l'idée de lier les interventions du Fonds social à la stratégie de l'emploi sera appliquée pour la première fois lors de la période du programme 2000-2006.
It could be said that the omission gives the impression that the Commission too has no idea how to provide maximum coordination between European Social Fund assistance, which is subject to review after three and a half years, and the Member States' annual national plans for employment.	On pourrait dire que l'oubli donne l'impression que la Commission ne sait pas non plus comment assurer un maximum de coordination entre les interventions du Fonds social européen, sujettes à une révision après 3 ans et demi, et les plans nationaux pour l'emploi annuels des États membres.
We hope that the Commission can reassure us that this was an oversight which is now being dealt with constructively.	Nous espérons que la Commission pourra nous rassurer et nous dire qu'il s'agit d'un oubli, qu'elle réparera de manière constructive.
Mr President, Commissioner, the proposal presented by the Commission, in accordance with its mandate, is a reasonable starting point for the Committee on Agriculture and Rural Development.	Monsieur le Président, Monsieur le Commissaire, Mesdames et Messieurs les Députés, la proposition présentée par la Commission, remplissant ainsi son mandat, est, de l'avis de la commission de l'agriculture et du développement rural, un point de départ raisonnable.
I would like to point out, however, that this starting point indicates to us the challenges which face us: maintaining a population in rural areas, given the changes taking place in all types of economic activity owing to agriculture' s increasing lack of importance amongst the various sources of income for rural society.	Mais je voudrais souligner ici que ce point de départ nous montre les défis devant lesquels nous nous trouvons : maintenir la population dans les zones rurales, face aux changements qui interviennent dans tous les types d'activités économiques en raison de la perte croissante de poids du secteur agricole face aux différentes sources de revenu de la société rurale.
This, as well as the deficiencies in the networks of infrastructures and services and a generally very low level of employment, which furthermore is seasonal and lacks diversity, exacerbates the exodus from rural areas.	Ceci, ajouté aux déficiences des réseaux d'infrastructures et de services et à une offre d'emploi généralement très limitée et tout au plus saisonnière et peu diversifiée, accentuent l'exode rural.
The consequences do not inspire hope.	Les conséquences ne se font pas attendre.
It is the young people who are disappearing, who are getting an education and finding work outside of the rural areas, all of which has an unfavourable effect on those areas.	Ce sont les jeunes qui disparaissent, qui acquièrent une formation et trouvent un emploi en dehors des zones rurales, ce qui a une incidence défavorable sur ces zones.
This lack of infrastructure is also an obstacle to the establishment of companies and the creation of jobs.	Cette absence d'infrastructures constitue également un obstacle à l'implantation d'entreprises et à la création d'emplois.
We have to remember that rural areas represent almost four fifths of the territory of the European Union.	Il faut tenir compte du fait que l'espace rural représente presque quatre cinquièmes du territoire de l'Union européenne.
Agriculture only provides 5.5% of employment in the Union.	L'agriculture fournit seulement 5,5 % de l'emploi de l'Union.
Furthermore, three quarters of our farm workers are part-time and require supplements to their incomes.	De plus, les trois quarts de nos agriculteurs le sont à temps partiel et ont besoin de revenus d'appoint efficaces.
For this reason, one of the most important and essential objectives which we should set in the European Union is to make efforts to create new jobs in rural areas, outside of the agricultural sector, in sectors such as rural tourism, sport, culture, heritage conservation, the conversion of businesses, new technologies, services, etc. However, even though the role of agriculture is not exclusive, it is still essential, not only to prevent economic and social disintegration and the creation of ghost towns, but also because farmers play a fundamental role in managing the land, in preserving biodiversity and in protecting the environment.	C'est la raison pour laquelle un des objectifs les plus importants et transcendants que nous devrions nous fixer dans l'Union européenne serait de centrer nos efforts sur la création de nouveaux postes de travail dans les zones rurales, en dehors du secteur agricole, dans des secteurs tels que le tourisme rural, le sport, la culture, la restauration du patrimoine, l'implantation, la reconversion des entreprises, les nouvelles technologies, les services, etc. Cependant, s'il est vrai que le rôle de l'agriculture n'est pas exclusif, il reste essentiel non seulement si l'on veut éviter la désintégration économique et sociale des zones rurales et la création de nouvelles villes fantômes, mais également parce que les agriculteurs jouent un rôle fondamental dans la gestion du territoire, dans la préservation de la biodiversité et dans la protection de l'environnement.
Therefore, we support the establishment of an agricultural and rural development policy which is consistent with the objectives we have set. We want rural areas, at the dawn of the 21st century, to be competitive and multi-functional, both with regard to agriculture and with regard to opening up to the diversity of non-agricultural activities.	Par conséquent, nous soutenons la mise en uvre d'une politique agricole et de développement rural cohérente avec les objectifs que nous avons fixés et le fait que les zones rurales, à l'aube du XXIe siècle, doivent être compétitives et multifonctionnelles, tant dans le domaine agricole que dans l'ouverture à la diversité des activités non agricoles.
It is important to prioritise general criteria for land planning and demographic equilibrium, and to bear in mind the conclusions of the Committee on Agriculture and Rural Development on the five fundamental issues, which have been only partly taken up by the Committee on Transport, Regional Policy and Tourism in its points 16 and 17.	Il est important de définir des critères généraux d'aménagement du territoire et d'équilibre de la population et de prendre en considération les conclusions auxquelles est parvenue la commission de l'agriculture et du développement rural sur cinq aspects fondamentaux, qui n'ont été que partiellement repris par la commission de la politique régionale, des transports et du tourisme dans les points 16 et 17.
In conclusion, I would ask the Commission to take these five points into account when establishing the conclusions on the four pillars because I believe that, for the European Union, maintaining the population in rural areas must be one of the priority objectives.	En conclusion, je voudrais demander à la Commission que ces cinq points soient pris en considération au moment de l'établissement ses conclusions des quatre piliers, parce que j'estime que, pour l'Union européenne, le maintien de la population dans le milieu rural doit être un des objectifs prioritaires.
Mr President, Commissioner, I would like to begin by thanking Mrs Schroedter, the rapporteur, for her work.	Monsieur le Président, Monsieur le Commissaire, chers collègues, je voudrais commencer mon intervention en remerciant Mme Schroedter, rapporteur, du travail qu'elle a effectué.
I think that this work has been carried out extremely well.	Je pense que c'est un très bon travail.
I would also like to thank her for her willingness to enter into dialogue with the other political groups when compromise formulas have needed to be reached in the face of this avalanche of amendments - and perhaps there are more of them than we expected - but which genuinely reflect the importance of the report we are now discussing.	De plus, je voudrais la remercier pour sa volonté de dialogue avec les autres groupes politiques en vue de trouver des formules de compromis devant cette avalanche d'amendements, peut-être plus nombreux que ce à quoi on s'attendait, mais qui font réellement écho à l'importance du rapport dont nous sommes en train de parler.
We feel that it is important that the Commission takes account of the conclusions adopted by this Parliament, at least in spirit, because at this stage, it might seem as though what we are doing here is a useless exercise, and nothing but hot air.	Il est à nos yeux important que les conclusions approuvées dans ce Parlement soient prises en considération par la Commission, au moins en esprit, parce qu'au niveau où nous sommes, on pourrait avoir l'impression que nous ne faisons ici qu'un exercice inutile, purement rhétorique.
The truth of the matter though is that we believe - and this is also shown in the way the conclusions have been drafted - that the Commission must take account of what is adopted by this Parliament, particularly in the face of an interim revision of these directives.	Mais la vérité est que nous estimons, et cela se reflète dans la formulation des conclusions, que la Commission doit tenir compte de ce qui est approuvé au Parlement, essentiellement en ce qui concerne la révision de ces orientations en milieu de période.
In our amendments, we have stated the importance of the necessary synergies being produced between the Structural Funds, the Cohesion Fund and Community initiatives, so that their application should be reflected, in the best and most profitable way, by the gradual elimination of disparities between regions and by the creation of jobs which are, when all is said and done, the two central purposes of the funds we are discussing.	Dans nos amendements, nous avons souligné l'importance que nous accordons à la création de synergies nécessaires entre les fonds structurels, le Fonds de cohésion et les initiatives communautaires, de telle sorte que leur application se reflète au mieux, de la manière la plus rentable, dans l'élimination progressive des inégalités entre les régions et dans la création de postes de travail, ce qui, en définitive, correspond aux deux objectifs fondamentaux des fonds dont nous sommes en train de parler.
In order to achieve a more rapid and efficient boost for attaining these objectives, we think that those who generate employment, the real entrepreneurs and those who really guarantee new sources of employment, that is, businesspeople, must participate in this initiative.	Et pour arriver à un élan plus rapide et efficace dans la satisfaction de ces objectifs, nous pensons qu'il est nécessaire que participent à cette initiative les créateurs d'emploi, les véritables entrepreneurs et ceux qui garantissent vraiment les nouvelles sources d'emploi, à savoir les patrons.
Small and medium-sized businesses, above all, need to take part in the distribution of these funds.	Il faut surtout que les patrons des petites et moyennes entreprises prennent part à la distribution de ces fonds.
If they do not, if businesspeople feel marginalised, if entrepreneurs cannot take part, not only in managing but also in receiving these funds, we will have missed an opportunity to attain our objectives more rapidly.	Si ce n'est pas le cas, si les patrons se sentent exclus, s'ils ne peuvent participer, et je ne parle pas seulement de la gestion, mais également de la réception des fonds, nous aurons manqué une chance d'atteindre nos objectifs plus rapidement.
Also, in order to attain our objectives, to overcome the disparities between regions and to seek out sources of employment, it is crucial to give our complete support to new technologies, to transport and communications networks and to renewable energies.	Pour atteindre ceux-ci, pour parvenir à surmonter les inégalités entre les régions et chercher des sources d'emploi, il est également important de miser résolument sur les nouvelles technologies, sur les réseaux de transports et de communications et sur les énergies renouvelables.
All of this must be done - I repeat - with the participation of private business, which, by uniting its efforts with those of public administrations, but complementing them, never obstructing or excluding them, will lead to the creation of wealth in society and of jobs.	Tout ceci ­ j'insiste ­ avec la participation de l'entreprise privée qui, en unissant ses efforts à ceux des administrations publiques, en les complétant, sans qu'il y ait aucune obstruction ou exclusion, est celle qui créera des richesses sociales et des postes de travail.
Mr President, it is incumbent upon me to remind my colleague, Mr Evans, of why Wales actually achieved Objective 1 status.	Monsieur le Président, il m'incombe de rappeler à mon collègue, M. Evans, la cause de l'éligibilité du pays de Galles à l'objectif 1.
It was because of the discredited policies of his own Conservative Party.	C'est le résultat des politiques discréditées de son parti, le parti conservateur.
Let me also remind him that when his party leader, Mr Hague, was Secretary of State for Wales, he broke every rule in the book on additionality which led to a stern letter from Commissioner Wulf-Mathies regarding regulatory requirements.	Permettez-moi de rappeler également que lorsque son chef de parti, M. Hague, était ministre pour le pays de Galles, il n'a respecté aucune règle du principe d'additionnalité, ce qui avait lui avait valu une lettre sévère du commissaire Wulf-Mathies concernant les obligations réglementaires.
I can tell you that the British Government is aware of its regulatory requirements on Objective 1 additionality.	Je puis vous assurer que le gouvernement britannique connaît ses obligations réglementaires quant à l'additionnalité de l'objectif 1.
I suggest Mr Evans goes back and reads the regulation.	Je suggère à M. Evans d'aller relire le règlement.
My Group has made extensive amendments to both reports up for debate today.	Mon groupe a proposé d'importants amendements aux deux rapports que nous examinons aujourd'hui.
I want to focus our minds on the essential role of the guidelines.	Je souhaiterais attirer notre attention sur le rôle essentiel des lignes directrices.
